#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
770,18002.44140625,4295.434691595845,22297.876097845845,172.29349551124162
780,17990.126953125,4297.779508525506,22287.906461650506,172.38754808895527
790,17889.9609375,4383.3707511732355,22273.331688673235,175.82068476538544
800,17955.74609375,4324.210802884772,22279.956896634772,173.44772951947604
810,17887.095703125,4382.707745009102,22269.803448134102,175.7940910309288
820,17882.05078125,4378.4745114708785,22260.52529272088,175.62429247595531
830,17828.62890625,4419.747276019305,22248.376182269305,177.27977774904627
840,17781.02734375,4454.659942783415,22235.687286533415,178.68015415476293
850,17874.04296875,4395.954167359741,22269.99713610974,176.32541616416276
860,17898.56640625,4400.299955382943,22298.866361632943,176.4997293741234
870,17979.052734375,4315.20837889798,22294.26111327298,173.08663472741844
880,17852.6171875,4427.866384455934,22280.483571955934,177.60544201201796
890,17735.212890625,4507.5511629302055,22242.764053555205,180.8016654464547
900,17807.1328125,4448.32086911425,22255.45368161425,178.4258885823168
910,17730.404296875,4526.49154334981,22256.89584022481,181.5613800232334
920,17726.515625,4520.408767903224,22246.924392903224,181.31739478789675
930,17695.0625,4561.235958604142,22256.298458604142,182.95500771948852
940,17879.3046875,4412.591371883638,22291.89605938364,176.99274842009623
950,17826.68359375,4459.18313877238,22285.86673252238,178.86158334733008
960,17867.76953125,4418.5921993572265,22286.361730607226,177.23344665336407
970,17833.287109375,4446.496945767663,22279.784055142663,178.35272948399717
980,17785.462890625,4468.210457076319,22253.67334770132,179.22367667137047
990,17720.939453125,4533.852678997442,22254.792132122442,181.856641360612
1000,17837.423828125,4449.224550871208,22286.648378996208,178.46213601707365
1010,17761.2109375,4504.290461194934,22265.501398694934,180.67087595944687
1020,17786.62109375,4489.96660229296,22276.58769604296,180.09633394062405
1030,17771.390625,4507.922213274986,22279.312838274986,180.81654858762732
1040,17848.19140625,4440.873709684238,22289.065115934238,178.12717675872958
1050,17850.22265625,4449.57811677549,22299.80077302549,178.47631784264337
1060,17697.595703125,4546.661515098065,22244.257218223065,182.3704145415952
1070,17796.14453125,4458.580896730069,22254.72542798007,178.837426912868
1080,17740.724609375,4528.185428463126,22268.910037838126,181.62932317872796
1090,17661.66015625,4591.747180512641,22253.40733676264,184.1788384729207
1100,17681.58203125,4585.697474385612,22267.27950563561,183.93617967578405
1110,17792.69921875,4496.235303746536,22288.934522496536,180.34777682435973
1120,17776.845703125,4507.291585747851,22284.13728887285,180.79125358751287
1130,17799.41015625,4484.723169127479,22284.13332537748,179.88601542959472
1140,17657.5703125,4594.946852942929,22252.51716544293,184.3071800232145
1150,17696.3515625,4564.3000800888985,22260.6516425889,183.0779122074354
1160,17645.642578125,4618.411420946824,22264.053999071824,185.24836356628228
1170,17617.44140625,4626.446219228208,22243.887625478208,185.57064607806996
1180,17768.40625,4502.1350154895335,22270.541265489534,180.5844192206924
1190,17811.8515625,4473.6851349603385,22285.53669746034,179.44327060240641
1200,17679.328125,4591.601513091475,22270.929638091475,184.1729956302338
1210,17695.7109375,4572.790025342256,22268.500962842256,183.41845104679007
1220,17634.587890625,4616.4259325182065,22251.013823143207,185.16872395673752
1230,17820.076171875,4474.375993192196,22294.452165067196,179.4709815067073
1240,17676.59765625,4572.662148454227,22249.259804704227,183.4133217973391
1250,17685.26953125,4573.042327897623,22258.311859147623,183.42857111432963
1260,17631.57421875,4624.525073657744,22256.099292407744,185.49358731464167
1270,17595.228515625,4654.475246376358,22249.703762001358,186.6949139135425
1280,17759.26171875,4525.87915410893,22285.14087285893,181.53681657610872
1290,17732.91015625,4545.857526646461,22278.76768289646,182.3381658891018
1300,17747.76171875,4559.579699882306,22307.341418632306,182.88857379017878
1310,17764.236328125,4530.43474591244,22294.67107403744,181.71954519202382
1320,17661.44140625,4595.846070553642,22257.28747680364,184.34324839731366
1330,17616.66796875,4634.8607966345735,22251.528765384573,185.90816184974008
1340,17629.8984375,4617.790158558637,22247.688596058637,185.22344420976174
1350,17698.59765625,4569.300650203833,22267.898306453833,183.2784892773969
1360,17644.61328125,4600.658721227199,22245.2720024772,184.5362878605475
1370,17593.716796875,4679.374440339394,22273.091237214394,187.6936415095405
1380,17575.576171875,4689.79670532234,22265.37287719734,188.11168731723708
1390,17546.671875,4701.960147730017,22248.632022730017,188.59957321478512
1400,17520.080078125,4742.115524375811,22262.19560250081,190.21023912001021
1410,17660.00390625,4620.444079841254,22280.447986091254,185.32989522285445
1420,17664.630859375,4609.004116052762,22273.63497542776,184.8710286607582
1430,17464.078125,4772.002214975306,22236.080339975306,191.4090193977606
1440,17523.900390625,4724.243380539119,22248.14377116412,189.49337241035497
1450,17594.7578125,4678.525990149006,22273.283802649006,187.65960945933728
1460,17549.59375,4729.234511856455,22278.828261856455,189.69357088221207
1470,17673.24609375,4605.22051106859,22278.46660481859,184.71926508497108
1480,17571.78125,4691.823341151699,22263.6045911517,188.19297738360726
1490,17549.80078125,4724.503980956972,22274.30476220697,189.5038253121326
1500,17452.732421875,4771.685904861195,22224.418326736195,191.3963319332457
1510,17464.0859375,4789.837297135964,22253.923234635964,192.12439953244223
1520,17542.31640625,4746.805877359584,22289.122283609584,190.3983731201236
1530,17534.40625,4741.873557415791,22276.27980741579,190.20053362188645
1540,17476.3125,4775.707410611212,22252.019910611212,191.5576379086909
1550,17582.7265625,4691.7301775068045,22274.456740006804,188.18924051151262
1560,17575.916015625,4709.0951078825165,22285.011123507516,188.88576246296827
1570,17503.39453125,4766.374918021727,22269.769449271727,191.1833037875783
1580,17428.33984375,4814.110589457909,22242.45043320791,193.09802168758674
1590,17334.5703125,4897.780813448131,22232.35112594813,196.45410469117402
1600,17531.375,4737.638464554213,22269.013464554213,190.03066048789054
1610,17584.62890625,4694.760487711057,22279.389393961057,188.31078880058232
1620,17427.197265625,4828.273924578913,22255.471190203913,193.66612496264509
1630,17491.8125,4796.178763793781,22287.99126379378,192.37876108967438
1640,17672.896484375,4635.368381412001,22308.264865787,185.92852150175443
1650,17445.3515625,4803.446541717276,22248.798104217276,192.67027777027675
1660,17460.576171875,4812.81453085551,22273.39070273051,193.04603568779225
1670,17509.677734375,4765.390655037016,22275.068389412016,191.14382417205297
1680,17469.34765625,4806.08907729201,22275.43673354201,192.77627209305732
1690,17491.853515625,4783.509862350882,22275.363377975882,191.87060080541838
1700,17488.93359375,4779.878481367603,22268.812075117603,191.72494306224132
1710,17437.962890625,4816.811789127998,22254.774679752998,193.20636907653528
1720,17386.234375,4861.698639235925,22247.933014235925,195.00681835881986
1730,17493.11328125,4791.7873705816455,22284.900651831646,192.20261861725743
1740,17424.298828125,4861.399205219932,22285.698033344932,194.9948078087837
1750,17414.130859375,4866.767094604671,22280.89795397967,195.21011836336478
1760,17456.4140625,4849.950101786992,22306.36416428699,194.5355746478674
